ORDER_DELIVERY_ID,ORDER_RATING
1.93522E+15,5
1.94339E+15,5
1.94278E+15,5
1.93277E+15,5
1.95039E+15,5
1.9694E+15,3
1.93504E+15,2
1.98569E+15,5
1.97569E+15,5
1.9403E+15,5
1.96335E+15,1
1.95852E+15,3
1.97765E+15,5
1.98377E+15,5
1.94499E+15,5
1.96839E+15,5
1.94057E+15,5
1.93854E+15,5
1.96847E+15,5
1.96833E+15,5
1.96785E+15,5
1.92691E+15,4
1.93351E+15,5
1.94379E+15,5
1.98632E+15,5
1.96932E+15,5
1.95926E+15,5
1.93732E+15,5
1.9858E+15,5
1.98552E+15,5
1.94148E+15,5
1.92587E+15,5
1.9519E+15,5
1.97734E+15,5
1.92485E+15,5
1.9869E+15,5
1.9811E+15,5
1.92807E+15,5
1.96788E+15,5
1.97969E+15,5
1.98648E+15,5
1.97568E+15,5
1.96897E+15,5
1.9855E+15,5
1.96646E+15,5
1.97107E+15,5
1.94105E+15,5
1.96803E+15,5
1.93207E+15,5
1.94322E+15,5
1.95119E+15,5
1.97932E+15,5
1.95041E+15,5
1.91653E+15,5
1.97829E+15,5
1.95001E+15,5
1.96979E+15,5
1.94973E+15,5
1.9759E+15,5
1.93427E+15,5
1.97258E+15,5
1.98057E+15,5
1.9577E+15,5
1.9844E+15,5
1.94216E+15,5
1.95552E+15,3
1.95294E+15,5
1.93538E+15,4
1.96981E+15,5
1.94995E+15,5
1.96996E+15,5
1.95357E+15,5
1.97219E+15,5
1.98523E+15,5
1.95964E+15,5
1.93294E+15,4
1.95061E+15,5
1.959E+15,5
1.9271E+15,5
1.97026E+15,5
1.90662E+15,4
1.96975E+15,5
1.95246E+15,5
1.92855E+15,5
1.93647E+15,5
1.94521E+15,5
1.98444E+15,5
1.95208E+15,5
1.96825E+15,5
1.93313E+15,5
1.95965E+15,5
1.97694E+15,5
1.93524E+15,5
1.9416E+15,5
1.93521E+15,5
1.95382E+15,4
1.97048E+15,5
1.95158E+15,5
1.95364E+15,5
1.98519E+15,5
1.98379E+15,5
1.93255E+15,5
1.96821E+15,4
1.96076E+15,5
1.98541E+15,5
1.94128E+15,5
1.96863E+15,5
1.94493E+15,5
1.98527E+15,5
1.97731E+15,5
1.93537E+15,5
1.97696E+15,5
1.95179E+15,5
1.95862E+15,5
1.97611E+15,5
1.97596E+15,5
1.93399E+15,5
1.94232E+15,5
1.96841E+15,5
1.93543E+15,5
1.9288E+15,5
1.98605E+15,5
1.96901E+15,5
1.98595E+15,5
1.91887E+15,5
1.96761E+15,5
1.984E+15,5
1.98811E+15,5
1.93254E+15,5
1.95921E+15,5
1.94736E+15,5
1.96823E+15,5
1.94155E+15,3
1.91833E+15,5
1.96047E+15,5
1.97765E+15,5
1.94392E+15,5
1.98639E+15,5
1.97657E+15,1
1.9504E+15,5
1.97035E+15,5
1.95375E+15,5
1.93507E+15,5
1.97606E+15,5
1.93432E+15,5
1.95139E+15,4
1.96055E+15,5
1.96836E+15,5
1.97786E+15,5
1.98542E+15,5
1.9714E+15,4
1.97766E+15,5
1.93538E+15,5
1.94226E+15,5
1.97093E+15,5
1.96159E+15,5
1.98561E+15,5
1.97115E+15,5
1.96796E+15,5
1.94454E+15,5
1.96054E+15,5
1.95271E+15,5
1.92429E+15,5
1.94164E+15,5
1.96817E+15,5
1.98045E+15,5
1.94167E+15,1
1.98367E+15,5
1.96052E+15,5
1.96022E+15,5
1.97628E+15,5
1.94331E+15,5
1.94168E+15,5
1.93595E+15,5
1.96829E+15,5
1.93353E+15,5
1.94924E+15,5
1.96432E+15,5
1.95311E+15,4
1.94162E+15,4
1.93435E+15,5
1.94344E+15,5
1.95076E+15,5
1.95127E+15,5
1.97001E+15,5
1.95265E+15,5
1.98566E+15,5
1.979E+15,5
1.96872E+15,5
1.97773E+15,5
1.96847E+15,5
1.93616E+15,5
1.94116E+15,5
1.95995E+15,5
1.93267E+15,5
1.96014E+15,5
1.97571E+15,5
1.96054E+15,2
1.96008E+15,5
1.98626E+15,5
1.96883E+15,5
1.94276E+15,5
1.96199E+15,5
1.98674E+15,5
1.94263E+15,5
1.96821E+15,5
1.94058E+15,5
1.9686E+15,5
1.9866E+15,5
1.95169E+15,5
1.95034E+15,5
1.969E+15,5
1.96689E+15,5
1.97731E+15,5
1.95762E+15,5
1.93492E+15,2
1.95985E+15,5
1.96696E+15,5
1.95268E+15,5
1.96875E+15,5
1.98627E+15,4
1.91666E+15,5
1.94322E+15,5
1.96922E+15,5
1.90738E+15,5
1.98483E+15,5
1.94097E+15,5
1.93367E+15,5
1.93292E+15,5
1.94587E+15,5
1.98393E+15,5
1.96127E+15,5
1.97641E+15,5
1.95268E+15,1
1.98594E+15,5
1.93293E+15,5
1.97733E+15,5
1.93882E+15,5
1.96161E+15,5
1.93255E+15,5
1.94971E+15,5
1.93557E+15,5
1.97798E+15,3
1.9769E+15,5
1.9593E+15,5
1.92547E+15,5
1.95062E+15,5
1.9341E+15,5
1.94381E+15,5
1.94181E+15,5
1.96889E+15,4
1.9349E+15,5
1.94183E+15,5
1.97676E+15,5
1.93608E+15,5
1.92591E+15,4
1.96023E+15,5
1.90766E+15,5
1.95331E+15,5
1.97864E+15,5
1.98337E+15,5
1.94191E+15,5
1.9766E+15,5
1.96117E+15,5
1.97661E+15,5
1.97694E+15,5
1.94149E+15,5
1.97715E+15,5
1.936E+15,5
1.95854E+15,4
1.978E+15,5
1.94104E+15,5
1.95979E+15,4
1.94185E+15,5
1.95399E+15,5
1.95963E+15,4
1.96145E+15,5
1.93198E+15,4
1.95041E+15,5
1.97676E+15,4
1.95129E+15,5
1.98416E+15,5
1.95055E+15,5
1.96812E+15,5
1.96145E+15,5
1.94494E+15,5
1.98112E+15,5
1.96118E+15,5
1.96878E+15,5
1.95995E+15,5
