ORDER_DELIVERY_ID,ORDER_RATING,,
1935224530312460,5,,
1943393919511070,5,,
1942781965311210,5,,
1932773441410840,5,,
1950393526911040,5,,
1969398098312950,3,,
1935035271911170,2,,
1985693346312020,5,,
1975694124810580,5,,
1940298123511300,5,,
1963353540112410,1,,
1958522052311750,3,,
1977645708212130,5,,
1983767469112290,5,,
1944985116710790,5,,
1968393996112290,5,,
1940574980110170,5,,
1938536700910980,5,,
1968465712310100,5,,
1968329847112370,5,,
1967852526711650,5,,
1926912880710230,4,,
1933505174810460,5,,
1943789346211250,5,,
1986322053212710,5,,
1969320795712320,5,,
1959257441710510,5,,
1937315513111650,5,,
1985802483912680,5,,
1985524108811400,5,,
1941480099112310,5,,
1925866779810630,5,,
1951895439211450,5,,
1977341432110630,5,,
1924851693112350,5,,
1986904610210540,5,,
1981100467012640,5,,
1928065655410060,5,,
1967883732412340,5,,
1979686425612030,5,,
1986477383611670,5,,
1975676356711080,5,,
1968968955112030,5,,
1985496877210590,5,,
1966462834511080,5,,
1971065475912850,5,,
1941050371810030,5,,
1968031749112210,5,,
1932068068910770,5,,
1943220842612390,5,,
1951187144910010,5,,
1979319980610620,5,,
1950407100911630,5,,
1916529205412580,5,,
1978286601912610,5,,
1950014419010870,5,,
1969791536811610,5,,
1949734411412200,5,,
1975896029912610,5,,
1934272447512070,5,,
1972579679210120,5,,
1980566959812500,5,,
1957697135212450,5,,
1984403498410300,5,,
1942162768512830,5,,
1955521141311330,3,,
1952944603212300,5,,
1935375182211380,4,,
1969806080812610,5,,
1949953388711090,5,,
1969964393810830,5,,
1953567942111520,5,,
1972188069610090,5,,
1985226368910610,5,,
1959637401812490,5,,
1932940705410330,4,,
1950607789212520,5,,
1958999506712600,5,,
1927097280612450,5,,
1970263925310260,5,,
1906622821210230,4,,
1969746411910510,5,,
1952459615611330,5,,
1928546325310040,5,,
1936465014610540,5,,
1945207411212510,5,,
1984440091412300,5,,
1952079697910370,5,,
1968249228112530,5,,
1933129989310880,5,,
1959648521611200,5,,
1976942096212920,5,,
1935238882512800,5,,
1941604682311670,5,,
1935212256812200,5,,
1953824195312170,4,,
1970479747412430,5,,
1951581630212800,5,,
1953643817212890,5,,
1985193722710250,5,,
1983789350810860,5,,
1932549698211670,5,,
1968210417612730,4,,
1960761179610280,5,,
1985412726812320,5,,
1941277254610910,5,,
1968630199910960,5,,
1944934834811330,5,,
1985272325710530,5,,
1977311979411460,5,,
1935371735211300,5,,
1976961036310390,5,,
1951788750810480,5,,
1958624841210200,5,,
1976112902110500,5,,
1975959201612970,5,,
1933993135210200,5,,
1942323190711900,5,,
1968411270410330,5,,
1935427839810130,5,,
1928803270110260,5,,
1986051228112810,5,,
1969012539110940,5,,
1985949514111140,5,,
1918870038311160,5,,
1967612996010570,5,,
1983995082112100,5,,
1988113146012060,5,,
1932537790012990,5,,
1959214587210620,5,,
1947357857611020,5,,
1968225266110210,5,,
1941547007610990,3,,
1918334862911420,5,,
1960471804712130,5,,
1977652464111530,5,,
1943915947910180,5,,
1986394781611420,5,,
1976574238812710,1,,
1950401167811400,5,,
1970347876810740,5,,
1953749559410470,5,,
1935071686010210,5,,
1976056449810700,5,,
1934315071812490,5,,
1951385372712060,4,,
1960551232411690,5,,
1968364025512910,5,,
1977857389111290,5,,
1985419094411630,5,,
1971397905411010,4,,
1977656151810930,5,,
1935384411011590,5,,
1942259636112100,5,,
1970927821910690,5,,
1961589203812100,5,,
1985613905311450,5,,
1971145976411930,5,,
1967958735311240,5,,
1944540234612880,5,,
1960537231612190,5,,
1952709445312350,5,,
1924285514410880,5,,
1941644858210080,5,,
1968167395711450,5,,
1980453115912820,5,,
1941667275911090,1,,
1983674533911240,5,,
1960520142511520,5,,
1960224494312780,5,,
1976275240610310,5,,
1943310920010080,5,,
1941675519310380,5,,
1935945204510400,5,,
1968288982911900,5,,
1933531025710360,5,,
1949239238510420,5,,
1964324011911670,5,,
1953112840010060,4,,
1941620496811280,4,,
1934353428912760,5,,
1943439514612950,5,,
1950755740310650,5,,
1951271467611020,5,,
1970012415210760,5,,
1952649578512930,5,,
1985661924212660,5,,
1978995344812840,5,,
1968724028812520,5,,
1977733560810670,5,,
1968472274911930,5,,
1936161789811680,5,,
1941160678011480,5,,
1959946534910350,5,,
1932672145211960,5,,
1960136551212680,5,,
1975708063212110,5,,
1960536008611080,2,,
1960076978010830,5,,
1986263274612820,5,,
1968827826710570,5,,
1942758078411290,5,,
1961993069612780,5,,
1986739509512490,5,,
1942630276011480,5,,
1968206534911240,5,,
1940576121510200,5,,
1968595574611940,5,,
1986600829710470,5,,
1951689016311860,5,,
1950337051611660,5,,
1969001372111480,5,,
1966887919312760,5,,
1977311717310340,5,,
1957619163910040,5,,
1934924833812800,2,,
1959850237910160,5,,
1966962931710160,5,,
1952675134712560,5,,
1968751217812730,5,,
1986272908810250,4,,
